xx,yy,zz,label,correlation
27.4339,5.44666,-20.9038,Stroke,0.415551161
25.7246,0.998533,-22.4427,Stroke,0.408328017
20.3368,6.12597,-24.1485,Stroke,0.230548235
17.4083,5.61791,-30.596,Stroke,-0.084034925
11.9484,26.4535,-16.7856,Stroke,0.264615656
10.9009,29.7128,-17.423,Stroke,0.552544478
12.6683,37.7318,-11.3238,Stroke,0.577528739
14.425,40.8423,-8.01481,Stroke,0.567182144
14.9001,34.155,-12.6747,Stroke,0.565544744
16.4112,41.2129,-5.70038,Stroke,0.577726441
11.9141,25.9375,-19.9782,Stroke,0.5665572
13.679,37.0177,-12.7716,Stroke,0.536829439
17.0828,37.6223,-6.81476,Stroke,0.574962611
15.9984,41.8461,-4.04407,Stroke,0.586977833
14.7373,27.4421,-15.4645,Stroke,0.582258444
12.8648,25.408,-19.7687,Stroke,0.568972944
14.9313,35.7954,-11.0218,Stroke,0.567225222
17.5815,40.7534,-4.78465,Stroke,0.569523944
14.5048,38.9278,-8.96348,Stroke,0.580443667
16.4857,41.1114,-4.1989,Stroke,0.571348778
16.7191,39.0923,-8.5782,Stroke,0.570408778
14.4979,30.1673,-13.1207,Stroke,0.572012111
15.8159,39.6574,-7.56915,Stroke,0.560825722
9.87636,29.367,-18.8913,Stroke,0.5691
